A9 18
14 16 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
14 17 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
14 18 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
15 1 15
15 2 3,7,8,9,10,11,12,13,14,15,16
15 3 2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18
15 4 3,10,11,13,14,15,16,17,18
15 5 5,6,7,8,9,10,11,12,13,14,15,16,17,18
15 6 3,5,6,7,8,10,11,12,13,14,15,16,17,18
15 7 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
15 8 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
15 9 2,3,5,7,8,10,11,12,13,14,15,16,17,18
15 10 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
15 11 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
15 12 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
15 13 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
15 14 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
15 15 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
15 16 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
15 17 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
15 18 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
16 1 16
16 2 3,5,6,7,8,10,11,12,13,14,15,16,17,18
16 3 2,5,6,7,8,9,10,11,12,13,14,15,16,17,18
16 4 5,7,8,10,11,13,14,15,16,17,18
16 5 2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18
16 6 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18
16 7 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
16 8 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
16 9 3,5,6,7,8,10,11,12,13,14,15,16,17,18
16 10 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
