J2 21
13 12 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
13 13 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
13 14 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
13 15 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
13 16 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
13 17 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
13 18 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
13 19 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
13 20 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
13 21 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
14 1 14
14 2 3,5,6,11,12,13,14,15,16,17,18,19,20,21
14 3 2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
14 4 3,5,6,9,10,11,12,13,14,15,16,17,18,19,20,21
14 5 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
14 6 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
14 7 3,5,6,9,10,11,12,13,14,15,16,17,18,19,20,21
14 8 3,5,6,9,10,11,12,13,14,15,16,17,18,19,20,21
14 9 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
14 10 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
14 11 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
14 12 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
14 13 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
14 14 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
14 15 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
14 16 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
14 17 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
14 18 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
14 19 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
14 20 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
14 21 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
15 1 15
15 2 3,10,11,12,13,14,15,16,17,18,19,20
15 3 2,3,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21
15 4 5,8,9,11,12,13,14,15,18,19,20,21
15 5 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
15 6 3,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21
15 7 3,5,8,10,11,12,13,14,15,16,17,18,19,20,21
15 8 3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21
15 9 3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21
15 10 2,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
15 11 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
15 12 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
15 13 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
15 14 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
15 15 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
15 16 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
15 17 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
15 18 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
15 19 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
15 20 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
15 21 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
16 1 16
16 2 3,9,11,12,13,14,15,16,17,18,19,21
16 3 2,3,5,6,7,8,10,11,12,13,14,15,16,17,18,19,20,21
16 4 5,7,10,11,12,13,14,16,17,19,20,21
16 5 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
16 6 3,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21
16 7 3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21
16 8 3,5,7,9,11,12,13,14,15,16,17,18,19,20,21
16 9 2,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
16 10 3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21
16 11 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
16 12 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
16 13 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
16 14 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
16 15 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
16 16 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
16 17 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
16 18 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
16 19 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
16 20 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
16 21 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
17 1 17
17 2 5,8,9,10,11,12,13,14,15,16,17,18,19,20,21
17 3 3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21
17 4 3,5,6,7,9,10,11,12,13,14,16,17,18,19,20,21
17 5 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
17 6 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
17 7 3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21
17 8 2,5,6,9,10,11,12,13,14,15,16,17,18,19,20,21
17 9 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
17 10 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
17 11 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
17 12 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
17 13 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
17 14 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
17 15 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
17 16 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
17 17 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
17 18 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
17 19 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
17 20 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
17 21 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
18 1 18
18 2 5,7,9,10,11,12,13,14,15,16,17,18,19,20,21
18 3 3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21
18 4 3,5,6,8,9,10,11,12,13,14,15,17,18,19,20,21
18 5 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
18 6 3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
18 7 2,5,6,9,10,11,12,13,14,15,16,17,18,19,20,21
18 8 3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21
18 9 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
18 10 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
18 11 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
18 12 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
18 13 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
18 14 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
18 15 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
18 16 2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
18 17 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
18 18 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
18 19 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
18 20 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
