PerfectGroup(21504,4) |Phi|=16 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(21504,5) |Phi|=16 violated by |a|=4 |b|=7 |ab|=7
PerfectGroup(21504,6) |Phi|=16 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(21504,7) |Phi|=16 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(21504,8) |Phi|=128 violated by |a|=4 |b|=7 |ab|=7
PerfectGroup(21504,9) |Phi|=2 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(21504,10) |Phi|=2 violated by |a|=2 |b|=7 |ab|=7
PerfectGroup(21504,11) |Phi|=2 violated by |a|=2 |b|=7 |ab|=7
PerfectGroup(21504,12) |Phi|=2 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(21504,13) |Phi|=2 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(21504,14) |Phi|=16 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(21504,15) |Phi|=16 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(21504,16) |Phi|=128 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(21504,17) |Phi|=16 violated by |a|=2 |b|=7 |ab|=7
PerfectGroup(21504,18) |Phi|=16 violated by |a|=2 |b|=7 |ab|=7
PerfectGroup(21504,19) |Phi|=16 violated by |a|=2 |b|=7 |ab|=7
PerfectGroup(21504,20) |Phi|=16 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(21504,21) |Phi|=16 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(21504,22) |Phi|=128 violated by |a|=2 |b|=7 |ab|=7
PerfectGroup(21600,1) |Phi|=1 violated by |a|=3 |b|=2 |ab|=3
PerfectGroup(23040,1) |Phi|=4 violated by |a|=3 |b|=2 |ab|=3
PerfectGroup(23040,2) |Phi|=4 violated by |a|=5 |b|=3 |ab|=5
PerfectGroup(23040,3) |Phi|=4 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(24360,1) |Phi|=2 violated by |a|=7 |b|=4 |ab|=4
PerfectGroup(25308,1) |Phi|=1 violated by |a|=18 |b|=37 |ab|=18
PerfectGroup(25920,1) |Phi|=1 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(28224,1) |Phi|=1 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(29120,1) |Phi|=1 violated by |a|=7 |b|=4 |ab|=7
PerfectGroup(29160,1) |Phi|=6 violated by |a|=3 |b|=5 |ab|=5
PerfectGroup(29160,2) |Phi|=3 violated by |a|=10 |b|=3 |ab|=4
PerfectGroup(29160,3) |Phi|=3 violated by |a|=5 |b|=4 |ab|=10
PerfectGroup(29160,4) |Phi|=1 violated by |a|=3 |b|=2 |ab|=2
PerfectGroup(29760,1) |Phi|=2 violated by |a|=5 |b|=4 |ab|=4
PerfectGroup(30240,1) |Phi|=1 violated by |a|=7 |b|=2 |ab|=7
PerfectGroup(30720,1) |Phi|=32 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(30720,2) |Phi|=32 violated by |a|=4 |b|=3 |ab|=3
PerfectGroup(30720,3) |Phi|=32 violated by |a|=4 |b|=3 |ab|=3
PerfectGroup(30720,4) |Phi|=32 violated by |a|=4 |b|=3 |ab|=3
PerfectGroup(30720,5) |Phi|=2 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(30720,6) |Phi|=2 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(30720,7) |Phi|=2 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(30720,8) |Phi|=2 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(30720,9) |Phi|=2 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(30720,10) |Phi|=32 violated by |a|=2 |b|=3 |ab|=3
