order 780 C13 x A5 |G|=780 violated by |a|=3 |b|=2 |ab|=2
done 800
order 840 C7 x SL(2,5) |G|=840 violated by |a|=5 |b|=4 |ab|=4
order 840 C5 x PSL(3,2) |G|=840 violated by |a|=2 |b|=3 |ab|=3
order 840 C7 x S5 |G|=840 violated by |a|=3 |b|=2 |ab|=3
order 840 C7 : S5 |G|=840 violated by |a|=3 |b|=2 |ab|=3
order 840 A5 x D14 |G|=840 violated by |a|=3 |b|=2 |ab|=2
order 840 C14 x A5 |G|=840 violated by |a|=3 |b|=2 |ab|=2
order 900 C15 x A5 |G|=900 violated by |a|=3 |b|=2 |ab|=2
done 1000
order 1008 C3 x SL(2,7) |G|=1008 violated by |a|=3 |b|=7 |ab|=3
order 1008 C2 x PSL(2,8) |G|=1008 violated by |a|=7 |b|=2 |ab|=7
order 1008 PSL(3,2) : S3 |G|=1008 violated by |a|=3 |b|=7 |ab|=3
order 1008 C3 x (PSL(3,2) : C2) |G|=1008 violated by |a|=3 |b|=7 |ab|=3
order 1008 S3 x PSL(3,2) |G|=1008 violated by |a|=2 |b|=3 |ab|=2
order 1008 C6 x PSL(3,2) |G|=1008 violated by |a|=2 |b|=3 |ab|=2
order 1020 C17 x A5 |G|=1020 violated by |a|=3 |b|=2 |ab|=2
order 1080 C9 x SL(2,5) |G|=1080 violated by |a|=5 |b|=6 |ab|=4
order 1080 C3 . A6 |G|=1080 violated by |a|=2 |b|=3 |ab|=3
order 1080 C9 x S5 |G|=1080 violated by |a|=3 |b|=2 |ab|=3
order 1080 C9 : S5 |G|=1080 violated by |a|=3 |b|=2 |ab|=3
order 1080 A5 x D18 |G|=1080 violated by |a|=3 |b|=2 |ab|=2
order 1080 C18 x A5 |G|=1080 violated by |a|=3 |b|=2 |ab|=2
order 1080 C3 x C3 x SL(2,5) |G|=1080 violated by |a|=5 |b|=6 |ab|=4
order 1080 C3 x A6 |G|=1080 violated by |a|=3 |b|=2 |ab|=3
order 1080 A5 : ((C3 x C3) : C2) |G|=1080 violated by |a|=3 |b|=2 |ab|=3
order 1080 C3 x (A5 : S3) |G|=1080 violated by |a|=3 |b|=2 |ab|=3
order 1080 C3 x C3 x S5 |G|=1080 violated by |a|=3 |b|=2 |ab|=3
order 1080 ((C3 x C3) : C2) x A5 |G|=1080 violated by |a|=3 |b|=2 |ab|=2
order 1080 C3 x A5 x S3 |G|=1080 violated by |a|=3 |b|=2 |ab|=2
order 1080 C3 x C6 x A5 |G|=1080 violated by |a|=3 |b|=2 |ab|=2
order 1092 PSL(2,13) |G|=1092 violated by |a|=3 |b|=13 |ab|=3
order 1140 C19 x A5 |G|=1140 violated by |a|=3 |b|=2 |ab|=2
order 1176 C7 x PSL(3,2) |G|=1176 violated by |a|=2 |b|=3 |ab|=2
order 1200 C5 x (A5 : C4) |G|=1200 violated by |a|=3 |b|=2 |ab|=3
order 1200 C5 x (C2 . S5 = SL(2,5) . C2) |G|=1200 violated by |a|=5 |b|=
3 |ab|=10
order 1200 C5 x (SL(2,5) : C2) |G|=1200 violated by |a|=3 |b|=5 |ab|=5
order 1200 C5 : (A5 : C4) |G|=1200 violated by |a|=3 |b|=2 |ab|=3
order 1200 SL(2,5) : D10 |G|=1200 violated by |a|=3 |b|=4 |ab|=4
order 1200 C5 : (C2 . S5 = SL(2,5) . C2) |G|=1200 violated by |a|=5 |b|=
6 |ab|=4
order 1200 (C5 : C4) x A5 |G|=1200 violated by |a|=3 |b|=2 |ab|=2
order 1200 D10 x SL(2,5) |G|=1200 violated by |a|=5 |b|=6 |ab|=4
order 1200 SL(2,5) : D10 |G|=1200 violated by |a|=5 |b|=3 |ab|=5
order 1200 C20 x A5 |G|=1200 violated by |a|=3 |b|=2 |ab|=2
order 1200 C5 x (SL(2,5) : C2) |G|=1200 violated by |a|=5 |b|=6 |ab|=5
order 1200 C10 x SL(2,5) |G|=1200 violated by |a|=5 |b|=4 |ab|=5
order 1200 A5 : (C5 : C4) |G|=1200 violated by |a|=3 |b|=2 |ab|=3
order 1200 (C5 : C4) x A5 |G|=1200 violated by |a|=3 |b|=2 |ab|=2
order 1200 D10 x S5 |G|=1200 violated by |a|=3 |b|=2 |ab|=3
order 1200 C2 x (C5 : S5) |G|=1200 violated by |a|=3 |b|=2 |ab|=3
order 1200 C10 x S5 |G|=1200 violated by |a|=3 |b|=2 |ab|=3
order 1200 C2 x A5 x D10 |G|=1200 violated by |a|=3 |b|=2 |ab|=2
order 1200 C2 x C10 x A5 |G|=1200 violated by |a|=3 |b|=2 |ab|=2
done 1200
order 1260 (C7 : C3) x A5 |G|=1260 violated by |a|=3 |b|=2 |ab|=2
order 1260 C21 x A5 |G|=1260 violated by |a|=3 |b|=2 |ab|=2
